ciclo,C,NC
1,101,99
2,101,99
3,101,99
4,101,99
5,101,99
6,101,99
7,101,99
8,101,99
9,101,99
10,101,99
11,101,99
12,101,99
13,101,99
14,101,99
15,101,99
16,101,99
17,101,99
18,101,99
19,101,99
20,101,99
21,101,99
22,101,99
23,101,99
24,101,99
25,101,99
26,101,99
27,101,99
28,101,99
29,101,99
30,101,99
31,101,99
32,101,99
33,101,99
34,101,99
35,101,99
36,101,99
37,101,99
38,101,99
39,101,99
40,101,99
41,101,99
42,101,99
43,101,99
44,101,99
45,101,99
46,101,99
47,101,99
48,101,99
49,101,99
50,101,99
51,101,99
52,101,99
53,101,99
54,101,99
55,101,99
56,101,99
57,101,99
58,101,99
59,101,99
60,101,99
61,101,99
62,101,99
63,101,99
64,101,99
65,101,99
66,101,99
67,101,99
68,101,99
69,101,99
70,101,99
71,101,99
72,101,99
73,101,99
74,101,99
75,101,99
76,101,99
77,101,99
78,101,99
79,101,99
80,101,99
81,101,99
82,101,99
83,101,99
84,101,99
85,101,99
86,101,99
87,101,99
88,101,99
89,101,99
90,101,99
91,101,99
92,101,99
93,101,99
94,101,99
95,101,99
96,101,99
97,101,99
98,101,99
99,101,99
100,101,99
101,101,99
102,101,99
103,101,99
104,101,99
105,101,99
106,101,99
107,101,99
108,101,99
109,101,99
110,101,99
111,101,99
112,101,99
113,101,99
114,101,99
115,101,99
116,101,99
117,101,99
118,101,99
119,101,99
120,101,99
121,101,99
122,101,99
123,101,99
124,101,99
125,101,99
126,101,99
127,101,99
128,101,99
129,101,99
130,101,99
131,101,99
132,101,99
133,101,99
134,101,99
135,101,99
136,101,99
137,101,99
138,101,99
139,101,99
140,101,99
141,101,99
142,101,99
143,101,99
144,101,99
145,101,99
146,101,99
147,101,99
148,101,99
149,101,99
150,101,99
151,101,99
152,101,99
153,101,99
154,101,99
155,101,99
156,101,99
157,101,99
158,101,99
159,101,99
160,101,99
161,101,99
162,101,99
163,101,99
164,101,99
165,101,99
166,101,99
167,101,99
168,101,99
169,101,99
170,101,99
171,101,99
172,101,99
173,101,99
174,101,99
175,101,99
176,101,99
177,101,99
178,101,99
179,101,99
180,101,99
181,101,99
182,101,99
183,101,99
184,101,99
185,101,99
186,101,99
187,101,99
188,101,99
189,101,99
190,101,99
191,101,99
192,101,99
193,101,99
194,101,99
195,101,99
196,101,99
197,101,99
198,101,99
199,101,99
200,101,99
201,101,99
202,101,99
203,101,99
204,101,99
205,101,99
206,101,99
207,101,99
208,101,99
209,101,99
210,101,99
211,101,99
212,101,99
213,101,99
214,101,99
215,101,99
216,101,99
217,101,99
218,101,99
219,101,99
220,101,99
221,101,99
222,101,99
223,101,99
224,101,99
225,101,99
226,101,99
227,101,99
228,101,99
229,101,99
230,101,99
231,101,99
232,101,99
233,101,99
234,101,99
235,101,99
236,101,99
237,101,99
238,101,99
239,101,99
240,101,99
241,101,99
242,101,99
243,101,99
244,101,99
245,101,99
246,101,99
247,101,99
248,101,99
249,101,99
250,101,99
251,101,99
252,101,99
253,101,99
254,101,99
255,101,99
256,101,99
257,101,99
258,101,99
259,101,99
260,101,99
261,101,99
262,101,99
263,101,99
264,101,99
265,101,99
266,101,99
267,101,99
268,101,99
269,101,99
270,101,99
271,101,99
272,101,99
273,101,99
274,101,99
275,101,99
276,101,99
277,101,99
278,101,99
279,101,99
280,101,99
281,101,99
282,101,99
283,101,99
284,101,99
285,101,99
286,101,99
287,101,99
288,101,99
289,101,99
290,101,99
291,101,99
292,101,99
293,101,99
294,101,99
295,101,99
296,101,99
297,101,99
298,101,99
299,101,99
300,101,99
301,101,99
302,101,99
303,101,99
304,101,99
305,101,99
306,101,99
307,101,99
308,101,99
309,101,99
310,101,99
311,101,99
312,101,99
313,101,99
314,101,99
315,101,99
316,101,99
317,101,99
318,101,99
319,101,99
320,101,99
321,101,99
322,101,99
323,101,99
324,101,99
325,101,99
326,101,99
327,101,99
328,101,99
329,101,99
330,101,99
331,101,99
332,101,99
333,101,99
334,101,99
335,101,99
336,101,99
337,101,99
338,101,99
339,101,99
340,101,99
341,101,99
342,101,99
343,101,99
344,101,99
345,101,99
346,101,99
347,101,99
348,101,99
349,101,99
350,101,99
351,101,99
352,101,99
353,101,99
354,101,99
355,101,99
356,101,99
357,101,99
358,101,99
359,101,99
360,101,99
361,101,99
362,101,99
363,101,99
364,101,99
365,101,99
366,101,99
367,101,99
368,101,99
369,101,99
370,101,99
371,101,99
372,101,99
373,101,99
374,101,99
375,101,99
376,101,99
377,101,99
378,101,99
379,101,99
380,101,99
381,101,99
382,101,99
383,101,99
384,101,99
385,101,99
386,101,99
387,101,99
388,101,99
389,101,99
390,101,99
391,101,99
392,101,99
393,101,99
394,101,99
395,101,99
396,101,99
397,101,99
398,101,99
399,101,99
400,101,99
401,101,99
402,101,99
403,101,99
404,101,99
405,101,99
406,101,99
407,101,99
408,101,99
409,101,99
410,101,99
411,101,99
412,101,99
413,101,99
414,101,99
415,101,99
416,101,99
417,101,99
418,101,99
419,101,99
420,101,99
421,101,99
422,101,99
423,101,99
424,101,99
425,101,99
426,101,99
427,101,99
428,101,99
429,101,99
430,101,99
431,101,99
432,101,99
433,101,99
434,101,99
435,101,99
436,101,99
437,101,99
438,101,99
439,101,99
440,101,99
441,101,99
442,101,99
443,101,99
444,101,99
445,101,99
446,101,99
447,101,99
448,101,99
449,101,99
450,101,99
451,101,99
452,101,99
453,101,99
454,101,99
455,101,99
456,101,99
457,101,99
458,101,99
459,101,99
460,101,99
461,101,99
462,101,99
463,101,99
464,101,99
465,101,99
466,101,99
467,101,99
468,101,99
469,101,99
470,101,99
471,101,99
472,101,99
473,101,99
474,101,99
475,101,99
476,101,99
477,101,99
478,101,99
479,101,99
480,101,99
481,101,99
482,101,99
483,101,99
484,101,99
485,101,99
486,101,99
487,101,99
488,101,99
489,101,99
490,101,99
491,101,99
492,101,99
493,101,99
494,101,99
495,101,99
496,101,99
497,101,99
498,101,99
499,101,99
500,101,99
501,101,99
502,101,99
503,101,99
504,101,99
505,101,99
506,101,99
507,101,99
508,101,99
509,101,99
510,101,99
511,101,99
512,101,99
513,101,99
514,101,99
515,101,99
516,101,99
517,101,99
518,101,99
519,101,99
520,101,99
521,101,99
522,101,99
523,101,99
524,101,99
525,101,99
526,101,99
527,101,99
528,101,99
529,101,99
530,101,99
531,101,99
532,101,99
533,101,99
534,101,99
535,101,99
536,101,99
537,101,99
538,101,99
539,101,99
540,101,99
541,101,99
542,101,99
543,101,99
544,101,99
545,101,99
546,101,99
547,101,99
548,101,99
549,101,99
550,101,99
551,101,99
552,101,99
553,101,99
554,101,99
555,101,99
556,101,99
557,101,99
558,101,99
559,101,99
560,101,99
561,101,99
562,101,99
563,101,99
564,101,99
565,101,99
566,101,99
567,101,99
568,101,99
569,101,99
570,101,99
571,101,99
572,101,99
573,101,99
574,101,99
575,101,99
576,101,99
577,101,99
578,101,99
579,101,99
580,101,99
581,101,99
582,101,99
583,101,99
584,101,99
585,101,99
586,101,99
587,101,99
588,101,99
589,101,99
590,101,99
591,101,99
592,101,99
593,101,99
594,101,99
595,101,99
596,101,99
597,101,99
598,101,99
599,101,99
600,100,100
601,100,100
602,100,100
603,100,100
604,100,100
605,100,100
606,100,100
607,100,100
608,100,100
609,100,100
610,100,100
611,100,100
612,100,100
613,100,100
614,100,100
615,100,100
616,100,100
617,100,100
618,100,100
619,100,100
620,100,100
621,100,100
622,100,100
623,100,100
624,100,100
625,100,100
626,100,100
627,100,100
628,100,100
629,100,100
630,100,100
631,100,100
632,100,100
633,100,100
634,100,100
635,100,100
636,100,100
637,100,100
638,100,100
639,100,100
640,100,100
641,100,100
642,100,100
643,100,100
644,100,100
645,100,100
646,100,100
647,100,100
648,100,100
649,100,100
650,100,100
651,100,100
652,100,100
653,100,100
654,100,100
655,100,100
656,100,100
657,100,100
658,100,100
659,100,100
660,100,100
661,100,100
662,100,100
663,100,100
664,100,100
665,100,100
666,100,100
667,100,100
668,100,100
669,100,100
670,100,100
671,100,100
672,100,100
673,100,100
674,100,100
675,100,100
676,100,100
677,100,100
678,100,100
679,100,100
680,100,100
681,100,100
682,100,100
683,100,100
684,100,100
685,100,100
686,100,100
687,100,100
688,100,100
689,100,100
690,100,100
691,100,100
692,100,100
693,100,100
694,100,100
695,100,100
696,100,100
697,100,100
698,100,100
699,100,100
700,101,99
701,101,99
702,101,99
703,101,99
704,101,99
705,101,99
706,101,99
707,101,99
708,101,99
709,101,99
710,101,99
711,101,99
712,101,99
713,101,99
714,101,99
715,101,99
716,101,99
717,101,99
718,101,99
719,101,99
720,101,99
721,101,99
722,101,99
723,101,99
724,101,99
725,101,99
726,101,99
727,101,99
728,101,99
729,101,99
730,101,99
731,101,99
732,101,99
733,101,99
734,101,99
735,101,99
736,101,99
737,101,99
738,101,99
739,101,99
740,101,99
741,101,99
742,101,99
743,101,99
744,101,99
745,101,99
746,101,99
747,101,99
748,101,99
749,101,99
750,101,99
751,101,99
752,101,99
753,101,99
754,101,99
755,101,99
756,101,99
757,101,99
758,101,99
759,101,99
760,101,99
761,101,99
762,101,99
763,101,99
764,101,99
765,101,99
766,101,99
767,101,99
768,101,99
769,101,99
770,101,99
771,101,99
772,101,99
773,101,99
774,101,99
775,101,99
776,101,99
777,101,99
778,101,99
779,101,99
780,101,99
781,101,99
782,101,99
783,101,99
784,101,99
785,101,99
786,101,99
787,101,99
788,101,99
789,101,99
790,101,99
791,101,99
792,101,99
793,101,99
794,101,99
795,101,99
796,101,99
797,101,99
798,101,99
799,101,99
800,102,98
801,102,98
802,102,98
803,102,98
804,102,98
805,102,98
806,102,98
807,102,98
808,102,98
809,102,98
810,102,98
811,102,98
812,102,98
813,102,98
814,102,98
815,102,98
816,102,98
817,102,98
818,102,98
819,102,98
820,102,98
821,102,98
822,102,98
823,102,98
824,102,98
825,102,98
826,102,98
827,102,98
828,102,98
829,102,98
830,102,98
831,102,98
832,102,98
833,102,98
834,102,98
835,102,98
836,102,98
837,102,98
838,102,98
839,102,98
840,102,98
841,102,98
842,102,98
843,102,98
844,102,98
845,102,98
846,102,98
847,102,98
848,102,98
849,102,98
850,102,98
851,102,98
852,102,98
853,102,98
854,102,98
855,102,98
856,102,98
857,102,98
858,102,98
859,102,98
860,102,98
861,102,98
862,102,98
863,102,98
864,102,98
865,102,98
866,102,98
867,102,98
868,102,98
869,102,98
870,102,98
871,102,98
872,102,98
873,102,98
874,102,98
875,102,98
876,102,98
877,102,98
878,102,98
879,102,98
880,102,98
881,102,98
882,102,98
883,102,98
884,102,98
885,102,98
886,102,98
887,102,98
888,102,98
889,102,98
890,102,98
891,102,98
892,102,98
893,102,98
894,102,98
895,102,98
896,102,98
897,102,98
898,102,98
899,102,98
900,102,98
901,102,98
902,102,98
903,102,98
904,102,98
905,102,98
906,102,98
907,102,98
908,102,98
909,102,98
910,102,98
911,102,98
912,102,98
913,102,98
914,102,98
915,102,98
916,102,98
917,102,98
918,102,98
919,102,98
920,102,98
921,102,98
922,102,98
923,102,98
924,102,98
925,102,98
926,102,98
927,102,98
928,102,98
929,102,98
930,102,98
931,102,98
932,102,98
933,102,98
934,102,98
935,102,98
936,102,98
937,102,98
938,102,98
939,102,98
940,102,98
941,102,98
942,102,98
943,102,98
944,102,98
945,102,98
946,102,98
947,102,98
948,102,98
949,102,98
950,102,98
951,102,98
952,102,98
953,102,98
954,102,98
955,102,98
956,102,98
957,102,98
958,102,98
959,102,98
960,102,98
961,102,98
962,102,98
963,102,98
964,102,98
965,102,98
966,102,98
967,102,98
968,102,98
969,102,98
970,102,98
971,102,98
972,102,98
973,102,98
974,102,98
975,102,98
976,102,98
977,102,98
978,102,98
979,102,98
980,102,98
981,102,98
982,102,98
983,102,98
984,102,98
985,102,98
986,102,98
987,102,98
988,102,98
989,102,98
990,102,98
991,102,98
992,102,98
993,102,98
994,102,98
995,102,98
996,102,98
997,102,98
998,102,98
999,102,98
1000,102,98
1001,102,98
1002,102,98
1003,102,98
1004,102,98
1005,102,98
1006,102,98
1007,102,98
1008,102,98
1009,102,98
1010,102,98
1011,102,98
1012,102,98
1013,102,98
1014,102,98
1015,102,98
1016,102,98
1017,102,98
1018,102,98
1019,102,98
1020,102,98
1021,102,98
1022,102,98
1023,102,98
1024,102,98
1025,102,98
1026,102,98
1027,102,98
1028,102,98
1029,102,98
1030,102,98
1031,102,98
1032,102,98
1033,102,98
1034,102,98
1035,102,98
1036,102,98
1037,102,98
1038,102,98
1039,102,98
1040,102,98
1041,102,98
1042,102,98
1043,102,98
1044,102,98
1045,102,98
1046,102,98
1047,102,98
1048,102,98
1049,102,98
1050,102,98
1051,102,98
1052,102,98
1053,102,98
1054,102,98
1055,102,98
1056,102,98
1057,102,98
1058,102,98
1059,102,98
1060,102,98
1061,102,98
1062,102,98
1063,102,98
