ciclo,C,NC
1,82,118
2,82,118
3,82,118
4,82,118
5,82,118
6,82,118
7,82,118
8,82,118
9,82,118
10,82,118
11,82,118
12,82,118
13,82,118
14,82,118
15,82,118
16,82,118
17,82,118
18,82,118
19,82,118
20,82,118
21,82,118
22,82,118
23,82,118
24,82,118
25,82,118
26,82,118
27,82,118
28,82,118
29,82,118
30,82,118
31,82,118
32,82,118
33,82,118
34,82,118
35,82,118
36,82,118
37,82,118
38,82,118
39,82,118
40,82,118
41,82,118
42,82,118
43,82,118
44,82,118
45,82,118
46,82,118
47,82,118
48,82,118
49,82,118
50,82,118
51,82,118
52,82,118
53,82,118
54,82,118
55,82,118
56,82,118
57,82,118
58,82,118
59,82,118
60,82,118
61,82,118
62,82,118
63,82,118
64,82,118
65,82,118
66,82,118
67,82,118
68,82,118
69,82,118
70,82,118
71,82,118
72,82,118
73,82,118
74,82,118
75,82,118
76,82,118
77,82,118
78,82,118
79,82,118
80,82,118
81,82,118
82,82,118
83,82,118
84,82,118
85,82,118
86,82,118
87,82,118
88,82,118
89,82,118
90,82,118
91,82,118
92,82,118
93,82,118
94,82,118
95,82,118
96,82,118
97,82,118
98,82,118
99,82,118
100,81,119
101,81,119
102,81,119
103,81,119
104,81,119
105,81,119
106,81,119
107,81,119
108,81,119
109,81,119
110,81,119
111,81,119
112,81,119
113,81,119
114,81,119
115,81,119
116,81,119
117,81,119
118,81,119
119,81,119
120,81,119
121,81,119
122,81,119
123,81,119
124,81,119
125,81,119
126,81,119
127,81,119
128,81,119
129,81,119
130,81,119
131,81,119
132,81,119
133,81,119
134,81,119
135,81,119
136,81,119
137,81,119
138,81,119
139,81,119
140,81,119
141,81,119
142,81,119
143,81,119
144,81,119
145,81,119
146,81,119
147,81,119
148,81,119
149,81,119
150,81,119
151,81,119
152,81,119
153,81,119
154,81,119
155,81,119
156,81,119
157,81,119
158,81,119
159,81,119
160,81,119
161,81,119
162,81,119
163,81,119
164,81,119
165,81,119
166,81,119
167,81,119
168,81,119
169,81,119
170,81,119
171,81,119
172,81,119
173,81,119
174,81,119
175,81,119
176,81,119
177,81,119
178,81,119
179,81,119
180,81,119
181,81,119
182,81,119
183,81,119
184,81,119
185,81,119
186,81,119
187,81,119
188,81,119
189,81,119
190,81,119
191,81,119
192,81,119
193,81,119
194,81,119
195,81,119
196,81,119
197,81,119
198,81,119
199,81,119
200,81,119
201,81,119
202,81,119
203,81,119
204,81,119
205,81,119
206,81,119
207,81,119
208,81,119
209,81,119
210,81,119
211,81,119
212,81,119
213,81,119
214,81,119
215,81,119
216,81,119
217,81,119
218,81,119
219,81,119
220,81,119
221,81,119
222,81,119
223,81,119
224,81,119
225,81,119
226,81,119
227,81,119
228,81,119
229,81,119
230,81,119
231,81,119
232,81,119
233,81,119
234,81,119
235,81,119
236,81,119
237,81,119
238,81,119
239,81,119
240,81,119
241,81,119
242,81,119
243,81,119
244,81,119
245,81,119
246,81,119
247,81,119
248,81,119
249,81,119
250,81,119
251,81,119
252,81,119
253,81,119
254,81,119
255,81,119
256,81,119
257,81,119
258,81,119
259,81,119
260,81,119
261,81,119
262,81,119
263,81,119
264,81,119
265,81,119
266,81,119
267,81,119
268,81,119
269,81,119
270,81,119
271,81,119
272,81,119
273,81,119
274,81,119
275,81,119
276,81,119
277,81,119
278,81,119
279,81,119
280,81,119
281,81,119
282,81,119
283,81,119
284,81,119
285,81,119
286,81,119
287,81,119
288,81,119
289,81,119
290,81,119
291,81,119
292,81,119
293,81,119
294,81,119
295,81,119
296,81,119
297,81,119
298,81,119
299,81,119
300,81,119
301,81,119
302,81,119
303,81,119
304,81,119
305,81,119
306,81,119
307,81,119
308,81,119
309,81,119
310,81,119
311,81,119
312,81,119
313,81,119
314,81,119
315,81,119
316,81,119
317,81,119
318,81,119
319,81,119
320,81,119
321,81,119
322,81,119
323,81,119
324,81,119
325,81,119
326,81,119
327,81,119
328,81,119
329,81,119
330,81,119
331,81,119
332,81,119
333,81,119
334,81,119
335,81,119
336,81,119
337,81,119
338,81,119
339,81,119
340,81,119
341,81,119
342,81,119
343,81,119
344,81,119
345,81,119
346,81,119
347,81,119
348,81,119
349,81,119
350,81,119
351,81,119
352,81,119
353,81,119
354,81,119
355,81,119
356,81,119
357,81,119
358,81,119
359,81,119
360,81,119
361,81,119
362,81,119
363,81,119
364,81,119
365,81,119
366,81,119
367,81,119
368,81,119
369,81,119
370,81,119
371,81,119
372,81,119
373,81,119
374,81,119
375,81,119
376,81,119
377,81,119
378,81,119
379,81,119
380,81,119
381,81,119
382,81,119
383,81,119
384,81,119
385,81,119
386,81,119
387,81,119
388,81,119
389,81,119
390,81,119
391,81,119
392,81,119
393,81,119
394,81,119
395,81,119
396,81,119
397,81,119
398,81,119
399,81,119
400,81,119
401,81,119
402,81,119
403,81,119
404,81,119
405,81,119
406,81,119
407,81,119
408,81,119
409,81,119
410,81,119
411,81,119
412,81,119
413,81,119
414,81,119
415,81,119
416,81,119
417,81,119
418,81,119
419,81,119
420,81,119
421,81,119
422,81,119
423,81,119
424,81,119
425,81,119
426,81,119
427,81,119
428,81,119
429,81,119
430,81,119
431,81,119
432,81,119
433,81,119
434,81,119
435,81,119
436,81,119
437,81,119
438,81,119
439,81,119
440,81,119
441,81,119
442,81,119
443,81,119
444,81,119
445,81,119
446,81,119
447,81,119
448,81,119
449,81,119
450,81,119
451,81,119
452,81,119
453,81,119
454,81,119
455,81,119
456,81,119
457,81,119
458,81,119
459,81,119
460,81,119
461,81,119
462,81,119
463,81,119
464,81,119
465,81,119
466,81,119
467,81,119
468,81,119
469,81,119
470,81,119
471,81,119
472,81,119
473,81,119
474,81,119
475,81,119
476,81,119
477,81,119
478,81,119
479,81,119
480,81,119
481,81,119
482,81,119
483,81,119
484,81,119
485,81,119
486,81,119
487,81,119
488,81,119
489,81,119
490,81,119
491,81,119
492,81,119
493,81,119
494,81,119
495,81,119
496,81,119
497,81,119
498,81,119
499,81,119
500,81,119
501,81,119
502,81,119
503,81,119
504,81,119
505,81,119
506,81,119
507,81,119
508,81,119
509,81,119
510,81,119
511,81,119
512,81,119
513,81,119
514,81,119
515,81,119
516,81,119
517,81,119
518,81,119
519,81,119
520,81,119
521,81,119
522,81,119
523,81,119
524,81,119
525,81,119
526,81,119
527,81,119
528,81,119
529,81,119
530,81,119
531,81,119
532,81,119
533,81,119
534,81,119
535,81,119
536,81,119
537,81,119
538,81,119
539,81,119
