ciclo,C,NC
1,90,110
2,90,110
3,90,110
4,90,110
5,90,110
6,90,110
7,90,110
8,90,110
9,90,110
10,90,110
11,90,110
12,90,110
13,90,110
14,90,110
15,90,110
16,90,110
17,90,110
18,90,110
19,90,110
20,90,110
21,90,110
22,90,110
23,90,110
24,90,110
25,90,110
26,90,110
27,90,110
28,90,110
29,90,110
30,90,110
31,90,110
32,90,110
33,90,110
34,90,110
35,90,110
36,90,110
37,90,110
38,90,110
39,90,110
40,90,110
41,90,110
42,90,110
43,90,110
44,90,110
45,90,110
46,90,110
47,90,110
48,90,110
49,90,110
50,90,110
51,90,110
52,90,110
53,90,110
54,90,110
55,90,110
56,90,110
57,90,110
58,90,110
59,90,110
60,90,110
61,90,110
62,90,110
63,90,110
64,90,110
65,90,110
66,90,110
67,90,110
68,90,110
69,90,110
70,90,110
71,90,110
72,90,110
73,90,110
74,90,110
75,90,110
76,90,110
77,90,110
78,90,110
79,90,110
80,90,110
81,90,110
82,90,110
83,90,110
84,90,110
85,90,110
86,90,110
87,90,110
88,90,110
89,90,110
90,90,110
91,90,110
92,90,110
93,90,110
94,90,110
95,90,110
96,90,110
97,90,110
98,90,110
99,90,110
100,90,110
101,90,110
102,90,110
103,90,110
104,90,110
105,90,110
106,90,110
107,90,110
108,90,110
109,90,110
110,90,110
111,90,110
112,90,110
113,90,110
114,90,110
115,90,110
116,90,110
117,90,110
118,90,110
119,90,110
120,90,110
121,90,110
122,90,110
123,90,110
124,90,110
125,90,110
126,90,110
127,90,110
128,90,110
129,90,110
130,90,110
131,90,110
132,90,110
133,90,110
134,90,110
135,90,110
136,90,110
137,90,110
138,90,110
139,90,110
140,90,110
141,90,110
142,90,110
143,90,110
144,90,110
145,90,110
146,90,110
147,90,110
148,90,110
149,90,110
150,90,110
151,90,110
152,90,110
153,90,110
154,90,110
155,90,110
156,90,110
157,90,110
158,90,110
159,90,110
160,90,110
161,90,110
162,90,110
163,90,110
164,90,110
165,90,110
166,90,110
167,90,110
168,90,110
169,90,110
170,90,110
171,90,110
172,90,110
173,90,110
174,90,110
175,90,110
176,90,110
177,90,110
178,90,110
179,90,110
180,90,110
181,90,110
182,90,110
183,90,110
184,90,110
185,90,110
186,90,110
187,90,110
188,90,110
189,90,110
190,90,110
191,90,110
192,90,110
193,90,110
194,90,110
195,90,110
196,90,110
197,90,110
198,90,110
199,90,110
200,90,110
201,90,110
202,90,110
203,90,110
204,90,110
205,90,110
206,90,110
207,90,110
208,90,110
209,90,110
210,90,110
211,90,110
212,90,110
213,90,110
