ciclo,C,NC
1,102,98
2,102,98
3,102,98
4,102,98
5,102,98
6,102,98
7,102,98
8,102,98
9,102,98
10,102,98
11,102,98
12,102,98
13,102,98
14,102,98
15,102,98
16,102,98
17,102,98
18,102,98
19,102,98
20,102,98
21,102,98
22,102,98
23,102,98
24,102,98
25,102,98
26,102,98
27,102,98
28,102,98
29,102,98
30,102,98
31,102,98
32,102,98
33,102,98
34,102,98
35,102,98
36,102,98
37,102,98
38,102,98
39,102,98
40,102,98
41,102,98
42,102,98
43,102,98
44,102,98
45,102,98
46,102,98
47,102,98
48,102,98
49,102,98
50,102,98
51,102,98
52,102,98
53,102,98
54,102,98
55,102,98
56,102,98
57,102,98
58,102,98
59,102,98
60,102,98
61,102,98
62,102,98
63,102,98
64,102,98
65,102,98
66,102,98
67,102,98
68,102,98
69,102,98
70,102,98
71,102,98
72,102,98
73,102,98
74,102,98
75,102,98
76,102,98
77,102,98
78,102,98
79,102,98
80,102,98
81,102,98
82,102,98
83,102,98
84,102,98
85,102,98
86,102,98
87,102,98
88,102,98
89,102,98
90,102,98
91,102,98
92,102,98
93,102,98
94,102,98
95,102,98
96,102,98
97,102,98
98,102,98
99,102,98
100,102,98
101,102,98
102,102,98
103,102,98
104,102,98
105,102,98
106,102,98
107,102,98
108,102,98
109,102,98
110,102,98
111,102,98
112,102,98
113,102,98
114,102,98
115,102,98
116,102,98
117,102,98
118,102,98
119,102,98
120,102,98
121,102,98
122,102,98
123,102,98
124,102,98
125,102,98
126,102,98
127,102,98
128,102,98
129,102,98
130,102,98
131,102,98
132,102,98
133,102,98
134,102,98
135,102,98
136,102,98
137,102,98
138,102,98
139,102,98
140,102,98
141,102,98
142,102,98
143,102,98
144,102,98
145,102,98
146,102,98
147,102,98
148,102,98
149,102,98
150,102,98
151,102,98
152,102,98
153,102,98
154,102,98
155,102,98
156,102,98
157,102,98
158,102,98
159,102,98
160,102,98
161,102,98
162,102,98
163,102,98
164,102,98
165,102,98
166,102,98
167,102,98
168,102,98
169,102,98
170,102,98
171,102,98
172,102,98
173,102,98
174,102,98
175,102,98
176,102,98
177,102,98
178,102,98
179,102,98
180,102,98
181,102,98
182,102,98
183,102,98
184,102,98
185,102,98
186,102,98
187,102,98
188,102,98
189,102,98
190,102,98
191,102,98
192,102,98
193,102,98
194,102,98
195,102,98
196,102,98
197,102,98
198,102,98
199,102,98
200,103,97
201,103,97
202,103,97
203,103,97
204,103,97
205,103,97
206,103,97
207,103,97
208,103,97
209,103,97
210,103,97
211,103,97
212,103,97
213,103,97
214,103,97
215,103,97
216,103,97
217,103,97
218,103,97
219,103,97
220,103,97
221,103,97
222,103,97
223,103,97
224,103,97
225,103,97
226,103,97
227,103,97
228,103,97
229,103,97
230,103,97
231,103,97
232,103,97
233,103,97
234,103,97
235,103,97
236,103,97
237,103,97
238,103,97
239,103,97
240,103,97
241,103,97
242,103,97
243,103,97
244,103,97
245,103,97
246,103,97
247,103,97
248,103,97
249,103,97
250,103,97
251,103,97
252,103,97
253,103,97
254,103,97
255,103,97
256,103,97
257,103,97
258,103,97
259,103,97
260,103,97
261,103,97
262,103,97
263,103,97
264,103,97
265,103,97
266,103,97
267,103,97
268,103,97
269,103,97
270,103,97
271,103,97
272,103,97
273,103,97
274,103,97
275,103,97
276,103,97
277,103,97
278,103,97
279,103,97
280,103,97
281,103,97
282,103,97
283,103,97
284,103,97
285,103,97
286,103,97
287,103,97
288,103,97
289,103,97
290,103,97
291,103,97
292,103,97
293,103,97
294,103,97
