ciclo,C,NC
1,84,116
2,84,116
3,84,116
4,84,116
5,84,116
6,84,116
7,84,116
8,84,116
9,84,116
10,84,116
11,84,116
12,84,116
13,84,116
14,84,116
15,84,116
16,84,116
17,84,116
18,84,116
19,84,116
20,84,116
21,84,116
22,84,116
23,84,116
24,84,116
25,84,116
26,84,116
27,84,116
28,84,116
29,84,116
30,84,116
31,84,116
32,84,116
33,84,116
34,84,116
35,84,116
36,84,116
37,84,116
38,84,116
39,84,116
40,84,116
41,84,116
42,84,116
43,84,116
44,84,116
45,84,116
46,84,116
47,84,116
48,84,116
49,84,116
50,84,116
51,84,116
52,84,116
53,84,116
54,84,116
55,84,116
56,84,116
57,84,116
58,84,116
59,84,116
60,84,116
61,84,116
62,84,116
63,84,116
64,84,116
65,84,116
66,84,116
67,84,116
68,84,116
69,84,116
70,84,116
71,84,116
72,84,116
73,84,116
74,84,116
75,84,116
76,84,116
77,84,116
78,84,116
79,84,116
80,84,116
81,84,116
82,84,116
83,84,116
84,84,116
85,84,116
86,84,116
87,84,116
88,84,116
89,84,116
90,84,116
91,84,116
92,84,116
93,84,116
94,84,116
95,84,116
96,84,116
97,84,116
98,84,116
99,84,116
100,85,115
101,85,115
102,85,115
103,85,115
104,85,115
105,85,115
106,85,115
107,85,115
108,85,115
109,85,115
110,85,115
111,85,115
112,85,115
113,85,115
114,85,115
115,85,115
116,85,115
117,85,115
118,85,115
119,85,115
120,85,115
121,85,115
122,85,115
123,85,115
124,85,115
125,85,115
126,85,115
127,85,115
128,85,115
129,85,115
130,85,115
131,85,115
132,85,115
133,85,115
134,85,115
135,85,115
136,85,115
137,85,115
138,85,115
139,85,115
140,85,115
141,85,115
142,85,115
143,85,115
144,85,115
145,85,115
146,85,115
147,85,115
148,85,115
149,85,115
150,85,115
151,85,115
152,85,115
153,85,115
154,85,115
155,85,115
156,85,115
157,85,115
158,85,115
159,85,115
160,85,115
161,85,115
162,85,115
163,85,115
164,85,115
165,85,115
166,85,115
167,85,115
168,85,115
169,85,115
170,85,115
171,85,115
172,85,115
173,85,115
174,85,115
175,85,115
176,85,115
177,85,115
178,85,115
179,85,115
180,85,115
