ciclo,C,NC
1,108,92
2,108,92
3,108,92
4,108,92
5,108,92
6,108,92
7,108,92
8,108,92
9,108,92
10,108,92
11,108,92
12,108,92
13,108,92
14,108,92
15,108,92
16,108,92
17,108,92
18,108,92
19,108,92
20,108,92
21,108,92
22,108,92
23,108,92
24,108,92
25,108,92
26,108,92
27,108,92
28,108,92
29,108,92
30,108,92
31,108,92
32,108,92
33,108,92
34,108,92
35,108,92
36,108,92
37,108,92
38,108,92
39,108,92
40,108,92
41,108,92
42,108,92
43,108,92
44,108,92
45,108,92
46,108,92
47,108,92
48,108,92
49,108,92
50,108,92
51,108,92
52,108,92
53,108,92
54,108,92
55,108,92
56,108,92
57,108,92
58,108,92
59,108,92
60,108,92
61,108,92
62,108,92
63,108,92
64,108,92
65,108,92
66,108,92
67,108,92
68,108,92
69,108,92
70,108,92
71,108,92
72,108,92
73,108,92
74,108,92
75,108,92
76,108,92
77,108,92
78,108,92
79,108,92
80,108,92
81,108,92
82,108,92
83,108,92
84,108,92
85,108,92
86,108,92
87,108,92
88,108,92
89,108,92
90,108,92
91,108,92
92,108,92
93,108,92
94,108,92
95,108,92
96,108,92
97,108,92
98,108,92
99,108,92
100,108,92
101,108,92
102,108,92
103,108,92
104,108,92
105,108,92
106,108,92
107,108,92
108,108,92
109,108,92
110,108,92
111,108,92
112,108,92
113,108,92
114,108,92
115,108,92
116,108,92
117,108,92
118,108,92
119,108,92
120,108,92
121,108,92
122,108,92
123,108,92
124,108,92
125,108,92
126,108,92
127,108,92
128,108,92
129,108,92
130,108,92
131,108,92
132,108,92
133,108,92
134,108,92
135,108,92
136,108,92
137,108,92
138,108,92
139,108,92
140,108,92
141,108,92
142,108,92
143,108,92
144,108,92
145,108,92
146,108,92
147,108,92
148,108,92
149,108,92
150,108,92
151,108,92
152,108,92
153,108,92
154,108,92
155,108,92
156,108,92
157,108,92
158,108,92
159,108,92
160,108,92
161,108,92
162,108,92
163,108,92
164,108,92
165,108,92
166,108,92
167,108,92
168,108,92
169,108,92
170,108,92
171,108,92
172,108,92
173,108,92
174,108,92
175,108,92
176,108,92
177,108,92
178,108,92
179,108,92
180,108,92
181,108,92
182,108,92
183,108,92
184,108,92
185,108,92
186,108,92
187,108,92
188,108,92
189,108,92
190,108,92
191,108,92
192,108,92
193,108,92
194,108,92
195,108,92
196,108,92
197,108,92
198,108,92
199,108,92
200,108,92
201,108,92
202,108,92
203,108,92
204,108,92
205,108,92
206,108,92
207,108,92
208,108,92
209,108,92
210,108,92
211,108,92
212,108,92
213,108,92
214,108,92
215,108,92
216,108,92
217,108,92
218,108,92
219,108,92
220,108,92
221,108,92
222,108,92
223,108,92
224,108,92
225,108,92
226,108,92
227,108,92
228,108,92
229,108,92
230,108,92
231,108,92
232,108,92
233,108,92
234,108,92
235,108,92
236,108,92
237,108,92
238,108,92
239,108,92
240,108,92
241,108,92
242,108,92
243,108,92
244,108,92
245,108,92
246,108,92
247,108,92
248,108,92
249,108,92
250,108,92
251,108,92
252,108,92
253,108,92
254,108,92
255,108,92
256,108,92
257,108,92
258,108,92
259,108,92
260,108,92
261,108,92
262,108,92
263,108,92
264,108,92
265,108,92
266,108,92
267,108,92
268,108,92
269,108,92
270,108,92
271,108,92
272,108,92
273,108,92
274,108,92
275,108,92
276,108,92
277,108,92
278,108,92
279,108,92
280,108,92
281,108,92
282,108,92
283,108,92
284,108,92
285,108,92
286,108,92
287,108,92
288,108,92
289,108,92
290,108,92
291,108,92
292,108,92
293,108,92
294,108,92
295,108,92
296,108,92
297,108,92
298,108,92
299,108,92
300,107,93
301,107,93
302,107,93
303,107,93
304,107,93
305,107,93
306,107,93
307,107,93
308,107,93
309,107,93
310,107,93
311,107,93
312,107,93
313,107,93
314,107,93
315,107,93
316,107,93
317,107,93
318,107,93
319,107,93
320,107,93
321,107,93
322,107,93
323,107,93
324,107,93
325,107,93
326,107,93
327,107,93
328,107,93
329,107,93
330,107,93
331,107,93
332,107,93
333,107,93
334,107,93
335,107,93
336,107,93
337,107,93
338,107,93
339,107,93
340,107,93
341,107,93
342,107,93
343,107,93
344,107,93
345,107,93
346,107,93
347,107,93
348,107,93
349,107,93
350,107,93
351,107,93
352,107,93
353,107,93
354,107,93
355,107,93
356,107,93
357,107,93
358,107,93
359,107,93
360,107,93
361,107,93
362,107,93
363,107,93
364,107,93
365,107,93
366,107,93
367,107,93
368,107,93
369,107,93
370,107,93
371,107,93
372,107,93
373,107,93
374,107,93
375,107,93
376,107,93
377,107,93
378,107,93
379,107,93
380,107,93
381,107,93
382,107,93
383,107,93
384,107,93
385,107,93
386,107,93
387,107,93
388,107,93
389,107,93
390,107,93
391,107,93
392,107,93
393,107,93
394,107,93
395,107,93
396,107,93
397,107,93
398,107,93
399,107,93
400,107,93
401,107,93
402,107,93
403,107,93
404,107,93
405,107,93
406,107,93
407,107,93
408,107,93
409,107,93
410,107,93
411,107,93
412,107,93
413,107,93
414,107,93
415,107,93
416,107,93
417,107,93
418,107,93
419,107,93
420,107,93
421,107,93
422,107,93
423,107,93
424,107,93
425,107,93
426,107,93
427,107,93
428,107,93
429,107,93
430,107,93
431,107,93
432,107,93
433,107,93
434,107,93
435,107,93
436,107,93
437,107,93
438,107,93
439,107,93
440,107,93
441,107,93
442,107,93
443,107,93
444,107,93
445,107,93
446,107,93
447,107,93
448,107,93
449,107,93
450,107,93
451,107,93
452,107,93
453,107,93
454,107,93
455,107,93
456,107,93
457,107,93
458,107,93
459,107,93
460,107,93
461,107,93
462,107,93
463,107,93
464,107,93
465,107,93
466,107,93
467,107,93
468,107,93
469,107,93
470,107,93
471,107,93
472,107,93
473,107,93
474,107,93
475,107,93
476,107,93
477,107,93
478,107,93
479,107,93
480,107,93
481,107,93
482,107,93
483,107,93
484,107,93
485,107,93
486,107,93
487,107,93
488,107,93
489,107,93
490,107,93
491,107,93
492,107,93
493,107,93
494,107,93
495,107,93
496,107,93
497,107,93
498,107,93
499,107,93
500,107,93
501,107,93
502,107,93
503,107,93
504,107,93
505,107,93
506,107,93
507,107,93
508,107,93
509,107,93
510,107,93
511,107,93
512,107,93
513,107,93
514,107,93
515,107,93
516,107,93
517,107,93
518,107,93
519,107,93
520,107,93
521,107,93
522,107,93
523,107,93
524,107,93
525,107,93
526,107,93
527,107,93
528,107,93
529,107,93
530,107,93
531,107,93
532,107,93
533,107,93
534,107,93
535,107,93
536,107,93
537,107,93
538,107,93
539,107,93
540,107,93
541,107,93
542,107,93
543,107,93
544,107,93
545,107,93
546,107,93
547,107,93
548,107,93
549,107,93
550,107,93
551,107,93
552,107,93
553,107,93
554,107,93
555,107,93
556,107,93
557,107,93
558,107,93
559,107,93
560,107,93
561,107,93
562,107,93
563,107,93
564,107,93
565,107,93
566,107,93
567,107,93
568,107,93
569,107,93
570,107,93
571,107,93
572,107,93
573,107,93
574,107,93
575,107,93
576,107,93
577,107,93
578,107,93
579,107,93
580,107,93
581,107,93
582,107,93
583,107,93
584,107,93
585,107,93
586,107,93
587,107,93
588,107,93
589,107,93
590,107,93
591,107,93
592,107,93
593,107,93
594,107,93
595,107,93
596,107,93
597,107,93
598,107,93
599,107,93
600,107,93
601,107,93
602,107,93
603,107,93
604,107,93
605,107,93
606,107,93
607,107,93
608,107,93
609,107,93
610,107,93
611,107,93
612,107,93
613,107,93
614,107,93
615,107,93
616,107,93
617,107,93
618,107,93
619,107,93
620,107,93
621,107,93
622,107,93
623,107,93
624,107,93
625,107,93
626,107,93
627,107,93
628,107,93
629,107,93
630,107,93
631,107,93
632,107,93
633,107,93
634,107,93
635,107,93
636,107,93
637,107,93
638,107,93
639,107,93
640,107,93
641,107,93
642,107,93
643,107,93
644,107,93
645,107,93
646,107,93
647,107,93
648,107,93
649,107,93
650,107,93
651,107,93
652,107,93
653,107,93
654,107,93
655,107,93
656,107,93
657,107,93
658,107,93
659,107,93
660,107,93
661,107,93
662,107,93
663,107,93
664,107,93
665,107,93
666,107,93
667,107,93
668,107,93
669,107,93
670,107,93
671,107,93
672,107,93
673,107,93
674,107,93
675,107,93
676,107,93
677,107,93
678,107,93
679,107,93
680,107,93
681,107,93
682,107,93
683,107,93
684,107,93
685,107,93
686,107,93
687,107,93
688,107,93
689,107,93
690,107,93
691,107,93
692,107,93
693,107,93
694,107,93
695,107,93
696,107,93
697,107,93
698,107,93
699,107,93
700,107,93
701,107,93
702,107,93
703,107,93
704,107,93
705,107,93
706,107,93
707,107,93
708,107,93
709,107,93
710,107,93
711,107,93
712,107,93
713,107,93
714,107,93
715,107,93
716,107,93
717,107,93
718,107,93
719,107,93
720,107,93
721,107,93
722,107,93
723,107,93
724,107,93
725,107,93
726,107,93
727,107,93
728,107,93
729,107,93
730,107,93
731,107,93
732,107,93
733,107,93
734,107,93
735,107,93
736,107,93
737,107,93
738,107,93
739,107,93
740,107,93
741,107,93
742,107,93
743,107,93
744,107,93
745,107,93
746,107,93
747,107,93
748,107,93
749,107,93
750,107,93
751,107,93
752,107,93
753,107,93
754,107,93
755,107,93
756,107,93
757,107,93
758,107,93
759,107,93
760,107,93
761,107,93
762,107,93
763,107,93
764,107,93
765,107,93
766,107,93
767,107,93
768,107,93
769,107,93
770,107,93
771,107,93
772,107,93
773,107,93
774,107,93
775,107,93
776,107,93
777,107,93
778,107,93
779,107,93
780,107,93
781,107,93
782,107,93
783,107,93
784,107,93
785,107,93
786,107,93
787,107,93
788,107,93
789,107,93
790,107,93
791,107,93
792,107,93
793,107,93
794,107,93
795,107,93
796,107,93
797,107,93
798,107,93
799,107,93
800,107,93
801,107,93
802,107,93
803,107,93
804,107,93
805,107,93
806,107,93
807,107,93
808,107,93
809,107,93
810,107,93
811,107,93
812,107,93
813,107,93
814,107,93
815,107,93
816,107,93
817,107,93
818,107,93
819,107,93
820,107,93
821,107,93
822,107,93
823,107,93
824,107,93
825,107,93
826,107,93
827,107,93
828,107,93
829,107,93
830,107,93
831,107,93
832,107,93
833,107,93
834,107,93
835,107,93
836,107,93
837,107,93
838,107,93
839,107,93
840,107,93
841,107,93
842,107,93
843,107,93
844,107,93
845,107,93
846,107,93
847,107,93
848,107,93
849,107,93
850,107,93
851,107,93
852,107,93
853,107,93
854,107,93
855,107,93
856,107,93
857,107,93
858,107,93
859,107,93
860,107,93
861,107,93
862,107,93
863,107,93
864,107,93
865,107,93
866,107,93
867,107,93
868,107,93
869,107,93
870,107,93
871,107,93
872,107,93
873,107,93
874,107,93
875,107,93
876,107,93
877,107,93
878,107,93
879,107,93
880,107,93
881,107,93
882,107,93
883,107,93
884,107,93
885,107,93
886,107,93
887,107,93
888,107,93
889,107,93
890,107,93
891,107,93
892,107,93
893,107,93
894,107,93
895,107,93
896,107,93
897,107,93
898,107,93
899,107,93
900,108,92
901,108,92
902,108,92
903,108,92
904,108,92
905,108,92
906,108,92
907,108,92
908,108,92
909,108,92
910,108,92
911,108,92
912,108,92
913,108,92
914,108,92
915,108,92
916,108,92
917,108,92
918,108,92
919,108,92
920,108,92
921,108,92
922,108,92
923,108,92
924,108,92
925,108,92
926,108,92
927,108,92
928,108,92
929,108,92
930,108,92
931,108,92
932,108,92
933,108,92
934,108,92
935,108,92
936,108,92
937,108,92
938,108,92
939,108,92
940,108,92
941,108,92
942,108,92
943,108,92
944,108,92
945,108,92
946,108,92
947,108,92
948,108,92
949,108,92
950,108,92
951,108,92
952,108,92
953,108,92
954,108,92
955,108,92
956,108,92
957,108,92
958,108,92
959,108,92
960,108,92
961,108,92
962,108,92
963,108,92
964,108,92
965,108,92
966,108,92
967,108,92
968,108,92
969,108,92
970,108,92
971,108,92
972,108,92
973,108,92
974,108,92
975,108,92
976,108,92
977,108,92
978,108,92
979,108,92
980,108,92
981,108,92
982,108,92
983,108,92
984,108,92
985,108,92
986,108,92
987,108,92
988,108,92
989,108,92
990,108,92
991,108,92
992,108,92
993,108,92
994,108,92
995,108,92
996,108,92
997,108,92
998,108,92
999,108,92
1000,108,92
1001,108,92
1002,108,92
1003,108,92
1004,108,92
1005,108,92
1006,108,92
1007,108,92
1008,108,92
1009,108,92
1010,108,92
1011,108,92
1012,108,92
1013,108,92
1014,108,92
1015,108,92
1016,108,92
1017,108,92
1018,108,92
1019,108,92
1020,108,92
1021,108,92
1022,108,92
1023,108,92
1024,108,92
1025,108,92
1026,108,92
1027,108,92
1028,108,92
1029,108,92
1030,108,92
1031,108,92
1032,108,92
1033,108,92
1034,108,92
1035,108,92
1036,108,92
1037,108,92
1038,108,92
1039,108,92
1040,108,92
1041,108,92
1042,108,92
1043,108,92
1044,108,92
1045,108,92
1046,108,92
1047,108,92
1048,108,92
1049,108,92
1050,108,92
1051,108,92
1052,108,92
1053,108,92
1054,108,92
1055,108,92
1056,108,92
1057,108,92
1058,108,92
1059,108,92
1060,108,92
1061,108,92
1062,108,92
1063,108,92
1064,108,92
1065,108,92
1066,108,92
1067,108,92
1068,108,92
1069,108,92
1070,108,92
1071,108,92
1072,108,92
1073,108,92
1074,108,92
1075,108,92
1076,108,92
1077,108,92
1078,108,92
1079,108,92
1080,108,92
1081,108,92
1082,108,92
1083,108,92
1084,108,92
1085,108,92
1086,108,92
1087,108,92
1088,108,92
1089,108,92
1090,108,92
1091,108,92
1092,108,92
1093,108,92
1094,108,92
1095,108,92
1096,108,92
1097,108,92
1098,108,92
1099,108,92
1100,108,92
1101,108,92
1102,108,92
1103,108,92
1104,108,92
1105,108,92
1106,108,92
1107,108,92
1108,108,92
1109,108,92
1110,108,92
1111,108,92
1112,108,92
1113,108,92
1114,108,92
1115,108,92
1116,108,92
1117,108,92
1118,108,92
1119,108,92
1120,108,92
1121,108,92
1122,108,92
1123,108,92
1124,108,92
1125,108,92
1126,108,92
1127,108,92
1128,108,92
1129,108,92
1130,108,92
1131,108,92
1132,108,92
1133,108,92
1134,108,92
1135,108,92
1136,108,92
1137,108,92
1138,108,92
1139,108,92
1140,108,92
1141,108,92
1142,108,92
1143,108,92
1144,108,92
1145,108,92
1146,108,92
1147,108,92
1148,108,92
1149,108,92
1150,108,92
1151,108,92
1152,108,92
1153,108,92
1154,108,92
1155,108,92
1156,108,92
1157,108,92
1158,108,92
1159,108,92
1160,108,92
1161,108,92
1162,108,92
1163,108,92
1164,108,92
1165,108,92
1166,108,92
1167,108,92
1168,108,92
1169,108,92
1170,108,92
1171,108,92
1172,108,92
1173,108,92
1174,108,92
1175,108,92
1176,108,92
1177,108,92
1178,108,92
1179,108,92
1180,108,92
1181,108,92
1182,108,92
1183,108,92
1184,108,92
1185,108,92
1186,108,92
1187,108,92
1188,108,92
1189,108,92
1190,108,92
1191,108,92
1192,108,92
1193,108,92
1194,108,92
1195,108,92
1196,108,92
1197,108,92
1198,108,92
1199,108,92
1200,108,92
1201,108,92
1202,108,92
1203,108,92
1204,108,92
1205,108,92
1206,108,92
1207,108,92
1208,108,92
1209,108,92
1210,108,92
1211,108,92
1212,108,92
1213,108,92
1214,108,92
1215,108,92
1216,108,92
1217,108,92
1218,108,92
1219,108,92
1220,108,92
1221,108,92
1222,108,92
1223,108,92
1224,108,92
1225,108,92
1226,108,92
1227,108,92
1228,108,92
1229,108,92
1230,108,92
1231,108,92
1232,108,92
1233,108,92
1234,108,92
1235,108,92
1236,108,92
1237,108,92
1238,108,92
1239,108,92
1240,108,92
1241,108,92
1242,108,92
1243,108,92
1244,108,92
1245,108,92
1246,108,92
1247,108,92
1248,108,92
1249,108,92
1250,108,92
1251,108,92
1252,108,92
1253,108,92
1254,108,92
1255,108,92
1256,108,92
1257,108,92
1258,108,92
1259,108,92
1260,108,92
1261,108,92
1262,108,92
1263,108,92
1264,108,92
1265,108,92
1266,108,92
1267,108,92
1268,108,92
1269,108,92
1270,108,92
1271,108,92
1272,108,92
1273,108,92
1274,108,92
1275,108,92
1276,108,92
1277,108,92
1278,108,92
1279,108,92
1280,108,92
1281,108,92
1282,108,92
1283,108,92
1284,108,92
1285,108,92
1286,108,92
1287,108,92
1288,108,92
1289,108,92
1290,108,92
1291,108,92
1292,108,92
1293,108,92
1294,108,92
1295,108,92
1296,108,92
1297,108,92
1298,108,92
1299,108,92
1300,108,92
1301,108,92
1302,108,92
1303,108,92
1304,108,92
1305,108,92
1306,108,92
1307,108,92
1308,108,92
1309,108,92
1310,108,92
1311,108,92
1312,108,92
1313,108,92
1314,108,92
1315,108,92
1316,108,92
1317,108,92
1318,108,92
1319,108,92
1320,108,92
1321,108,92
1322,108,92
1323,108,92
1324,108,92
1325,108,92
1326,108,92
1327,108,92
1328,108,92
1329,108,92
1330,108,92
1331,108,92
1332,108,92
1333,108,92
1334,108,92
1335,108,92
1336,108,92
1337,108,92
1338,108,92
1339,108,92
1340,108,92
1341,108,92
1342,108,92
1343,108,92
1344,108,92
1345,108,92
1346,108,92
1347,108,92
1348,108,92
1349,108,92
1350,108,92
1351,108,92
1352,108,92
1353,108,92
1354,108,92
1355,108,92
1356,108,92
1357,108,92
1358,108,92
1359,108,92
1360,108,92
1361,108,92
1362,108,92
1363,108,92
1364,108,92
1365,108,92
1366,108,92
1367,108,92
1368,108,92
1369,108,92
1370,108,92
1371,108,92
