ciclo,C,NC
1,141,59
2,141,59
3,141,59
4,141,59
5,141,59
6,141,59
7,141,59
8,141,59
9,141,59
10,141,59
11,141,59
12,141,59
13,141,59
14,141,59
15,141,59
16,141,59
17,141,59
18,141,59
19,141,59
20,141,59
21,141,59
22,141,59
23,141,59
24,141,59
25,141,59
26,141,59
27,141,59
28,141,59
29,141,59
30,141,59
31,141,59
32,141,59
33,141,59
34,141,59
35,141,59
36,141,59
37,141,59
38,141,59
39,141,59
40,141,59
41,141,59
42,141,59
43,141,59
44,141,59
45,141,59
46,141,59
47,141,59
48,141,59
49,141,59
50,141,59
51,141,59
52,141,59
53,141,59
54,141,59
55,141,59
56,141,59
57,141,59
58,141,59
59,141,59
60,141,59
61,141,59
62,141,59
63,141,59
64,141,59
65,141,59
66,141,59
67,141,59
68,141,59
69,141,59
70,141,59
71,141,59
72,141,59
73,141,59
74,141,59
75,141,59
76,141,59
77,141,59
78,141,59
79,141,59
80,141,59
81,141,59
82,141,59
83,141,59
84,141,59
85,141,59
86,141,59
87,141,59
88,141,59
89,141,59
90,141,59
91,141,59
92,141,59
93,141,59
94,141,59
95,141,59
96,141,59
97,141,59
98,141,59
99,141,59
100,141,59
101,141,59
102,141,59
103,141,59
104,141,59
105,141,59
106,141,59
107,141,59
108,141,59
109,141,59
110,141,59
111,141,59
112,141,59
113,141,59
114,141,59
115,141,59
116,141,59
117,141,59
118,141,59
119,141,59
120,141,59
121,141,59
122,141,59
123,141,59
124,141,59
125,141,59
126,141,59
127,141,59
128,141,59
129,141,59
130,141,59
131,141,59
132,141,59
133,141,59
134,141,59
135,141,59
136,141,59
137,141,59
138,141,59
139,141,59
140,141,59
141,141,59
142,141,59
143,141,59
144,141,59
145,141,59
146,141,59
147,141,59
148,141,59
149,141,59
150,141,59
151,141,59
152,141,59
153,141,59
154,141,59
155,141,59
156,141,59
157,141,59
158,141,59
159,141,59
160,141,59
161,141,59
162,141,59
163,141,59
164,141,59
165,141,59
166,141,59
167,141,59
168,141,59
169,141,59
170,141,59
171,141,59
172,141,59
173,141,59
174,141,59
175,141,59
176,141,59
177,141,59
178,141,59
179,141,59
180,141,59
181,141,59
182,141,59
183,141,59
184,141,59
185,141,59
186,141,59
187,141,59
188,141,59
189,141,59
190,141,59
191,141,59
192,141,59
193,141,59
194,141,59
195,141,59
