ciclo,C,NC
1,97,103
2,97,103
3,97,103
4,97,103
5,97,103
6,97,103
7,97,103
8,97,103
9,97,103
10,97,103
11,97,103
12,97,103
13,97,103
14,97,103
15,97,103
16,97,103
17,97,103
18,97,103
19,97,103
20,97,103
21,97,103
22,97,103
23,97,103
24,97,103
25,97,103
26,97,103
27,97,103
28,97,103
29,97,103
30,97,103
31,97,103
32,97,103
33,97,103
34,97,103
35,97,103
36,97,103
37,97,103
38,97,103
39,97,103
40,97,103
41,97,103
42,97,103
43,97,103
44,97,103
45,97,103
46,97,103
47,97,103
48,97,103
49,97,103
50,97,103
51,97,103
52,97,103
53,97,103
54,97,103
55,97,103
56,97,103
57,97,103
58,97,103
59,97,103
60,97,103
61,97,103
62,97,103
63,97,103
64,97,103
65,97,103
66,97,103
67,97,103
68,97,103
69,97,103
70,97,103
71,97,103
72,97,103
73,97,103
74,97,103
75,97,103
76,97,103
77,97,103
78,97,103
79,97,103
80,97,103
81,97,103
82,97,103
83,97,103
84,97,103
85,97,103
86,97,103
87,97,103
88,97,103
89,97,103
90,97,103
91,97,103
92,97,103
93,97,103
94,97,103
95,97,103
96,97,103
97,97,103
98,97,103
99,97,103
100,97,103
101,97,103
102,97,103
103,97,103
104,97,103
105,97,103
106,97,103
107,97,103
108,97,103
109,97,103
110,97,103
111,97,103
112,97,103
113,97,103
114,97,103
115,97,103
116,97,103
117,97,103
118,97,103
119,97,103
120,97,103
121,97,103
122,97,103
123,97,103
124,97,103
125,97,103
126,97,103
127,97,103
128,97,103
129,97,103
130,97,103
131,97,103
132,97,103
133,97,103
134,97,103
135,97,103
136,97,103
137,97,103
138,97,103
139,97,103
140,97,103
141,97,103
142,97,103
143,97,103
144,97,103
145,97,103
146,97,103
147,97,103
148,97,103
149,97,103
150,97,103
151,97,103
152,97,103
153,97,103
154,97,103
155,97,103
156,97,103
157,97,103
158,97,103
159,97,103
160,97,103
161,97,103
162,97,103
163,97,103
164,97,103
165,97,103
166,97,103
167,97,103
168,97,103
169,97,103
170,97,103
171,97,103
172,97,103
173,97,103
174,97,103
175,97,103
176,97,103
177,97,103
178,97,103
179,97,103
180,97,103
181,97,103
182,97,103
183,97,103
184,97,103
185,97,103
186,97,103
187,97,103
188,97,103
189,97,103
190,97,103
191,97,103
192,97,103
193,97,103
194,97,103
195,97,103
196,97,103
197,97,103
198,97,103
199,97,103
200,97,103
201,97,103
202,97,103
203,97,103
204,97,103
205,97,103
206,97,103
207,97,103
208,97,103
209,97,103
210,97,103
211,97,103
212,97,103
213,97,103
214,97,103
215,97,103
216,97,103
217,97,103
218,97,103
219,97,103
220,97,103
221,97,103
222,97,103
223,97,103
224,97,103
225,97,103
226,97,103
227,97,103
228,97,103
229,97,103
230,97,103
231,97,103
232,97,103
233,97,103
234,97,103
235,97,103
236,97,103
237,97,103
238,97,103
239,97,103
240,97,103
241,97,103
242,97,103
243,97,103
244,97,103
245,97,103
246,97,103
247,97,103
248,97,103
249,97,103
250,97,103
251,97,103
252,97,103
253,97,103
254,97,103
255,97,103
256,97,103
257,97,103
258,97,103
259,97,103
260,97,103
261,97,103
262,97,103
263,97,103
264,97,103
265,97,103
266,97,103
267,97,103
268,97,103
269,97,103
270,97,103
271,97,103
272,97,103
273,97,103
274,97,103
275,97,103
276,97,103
277,97,103
278,97,103
279,97,103
280,97,103
281,97,103
282,97,103
283,97,103
284,97,103
285,97,103
286,97,103
287,97,103
288,97,103
289,97,103
290,97,103
291,97,103
292,97,103
293,97,103
294,97,103
295,97,103
296,97,103
297,97,103
298,97,103
299,97,103
300,97,103
301,97,103
302,97,103
303,97,103
304,97,103
305,97,103
306,97,103
307,97,103
308,97,103
309,97,103
310,97,103
311,97,103
312,97,103
313,97,103
314,97,103
315,97,103
316,97,103
317,97,103
318,97,103
319,97,103
320,97,103
321,97,103
322,97,103
323,97,103
324,97,103
325,97,103
326,97,103
327,97,103
328,97,103
329,97,103
330,97,103
331,97,103
332,97,103
333,97,103
334,97,103
335,97,103
336,97,103
337,97,103
338,97,103
339,97,103
340,97,103
341,97,103
342,97,103
343,97,103
344,97,103
345,97,103
346,97,103
347,97,103
348,97,103
349,97,103
350,97,103
351,97,103
352,97,103
353,97,103
354,97,103
355,97,103
356,97,103
357,97,103
358,97,103
359,97,103
360,97,103
361,97,103
362,97,103
363,97,103
364,97,103
365,97,103
366,97,103
367,97,103
368,97,103
369,97,103
370,97,103
371,97,103
372,97,103
373,97,103
374,97,103
375,97,103
376,97,103
377,97,103
378,97,103
379,97,103
380,97,103
381,97,103
382,97,103
383,97,103
384,97,103
385,97,103
386,97,103
387,97,103
388,97,103
389,97,103
390,97,103
391,97,103
392,97,103
393,97,103
394,97,103
395,97,103
396,97,103
397,97,103
398,97,103
399,97,103
400,97,103
401,97,103
402,97,103
403,97,103
404,97,103
405,97,103
406,97,103
407,97,103
408,97,103
409,97,103
410,97,103
411,97,103
412,97,103
413,97,103
414,97,103
415,97,103
416,97,103
417,97,103
418,97,103
419,97,103
420,97,103
421,97,103
422,97,103
423,97,103
424,97,103
425,97,103
426,97,103
427,97,103
428,97,103
429,97,103
430,97,103
431,97,103
432,97,103
433,97,103
434,97,103
435,97,103
436,97,103
437,97,103
438,97,103
439,97,103
440,97,103
441,97,103
442,97,103
443,97,103
444,97,103
445,97,103
446,97,103
447,97,103
448,97,103
449,97,103
450,97,103
451,97,103
452,97,103
453,97,103
454,97,103
455,97,103
456,97,103
457,97,103
458,97,103
459,97,103
460,97,103
461,97,103
462,97,103
463,97,103
464,97,103
465,97,103
466,97,103
467,97,103
468,97,103
469,97,103
470,97,103
471,97,103
472,97,103
473,97,103
474,97,103
475,97,103
476,97,103
477,97,103
478,97,103
479,97,103
480,97,103
481,97,103
482,97,103
483,97,103
484,97,103
485,97,103
486,97,103
487,97,103
488,97,103
489,97,103
490,97,103
491,97,103
492,97,103
493,97,103
494,97,103
495,97,103
496,97,103
497,97,103
498,97,103
499,97,103
500,97,103
501,97,103
502,97,103
503,97,103
504,97,103
505,97,103
506,97,103
507,97,103
508,97,103
509,97,103
510,97,103
511,97,103
512,97,103
513,97,103
514,97,103
515,97,103
516,97,103
517,97,103
518,97,103
519,97,103
520,97,103
521,97,103
522,97,103
523,97,103
524,97,103
525,97,103
526,97,103
527,97,103
528,97,103
529,97,103
530,97,103
531,97,103
532,97,103
533,97,103
534,97,103
535,97,103
536,97,103
537,97,103
538,97,103
539,97,103
540,97,103
541,97,103
542,97,103
543,97,103
544,97,103
545,97,103
546,97,103
547,97,103
548,97,103
549,97,103
550,97,103
551,97,103
552,97,103
553,97,103
554,97,103
555,97,103
556,97,103
557,97,103
558,97,103
559,97,103
560,97,103
561,97,103
562,97,103
563,97,103
564,97,103
565,97,103
566,97,103
567,97,103
568,97,103
569,97,103
570,97,103
571,97,103
572,97,103
573,97,103
574,97,103
575,97,103
576,97,103
577,97,103
578,97,103
579,97,103
580,97,103
581,97,103
582,97,103
583,97,103
584,97,103
585,97,103
586,97,103
587,97,103
588,97,103
589,97,103
590,97,103
591,97,103
592,97,103
593,97,103
594,97,103
595,97,103
596,97,103
597,97,103
598,97,103
599,97,103
600,97,103
601,97,103
602,97,103
603,97,103
604,97,103
605,97,103
606,97,103
607,97,103
608,97,103
609,97,103
610,97,103
611,97,103
612,97,103
613,97,103
614,97,103
615,97,103
616,97,103
617,97,103
618,97,103
619,97,103
620,97,103
621,97,103
622,97,103
623,97,103
624,97,103
625,97,103
626,97,103
627,97,103
628,97,103
629,97,103
630,97,103
631,97,103
632,97,103
633,97,103
634,97,103
635,97,103
636,97,103
637,97,103
638,97,103
639,97,103
640,97,103
641,97,103
642,97,103
643,97,103
644,97,103
645,97,103
646,97,103
647,97,103
648,97,103
649,97,103
650,97,103
651,97,103
652,97,103
653,97,103
654,97,103
655,97,103
656,97,103
657,97,103
658,97,103
659,97,103
660,97,103
661,97,103
662,97,103
663,97,103
664,97,103
665,97,103
666,97,103
667,97,103
668,97,103
669,97,103
670,97,103
671,97,103
672,97,103
673,97,103
674,97,103
675,97,103
676,97,103
677,97,103
678,97,103
679,97,103
680,97,103
681,97,103
682,97,103
683,97,103
684,97,103
685,97,103
686,97,103
687,97,103
688,97,103
689,97,103
690,97,103
691,97,103
692,97,103
693,97,103
694,97,103
695,97,103
696,97,103
697,97,103
698,97,103
699,97,103
700,97,103
701,97,103
702,97,103
703,97,103
704,97,103
705,97,103
706,97,103
707,97,103
708,97,103
709,97,103
710,97,103
711,97,103
712,97,103
713,97,103
714,97,103
715,97,103
716,97,103
717,97,103
718,97,103
719,97,103
720,97,103
721,97,103
722,97,103
723,97,103
724,97,103
725,97,103
726,97,103
727,97,103
728,97,103
729,97,103
730,97,103
731,97,103
732,97,103
733,97,103
734,97,103
735,97,103
736,97,103
737,97,103
738,97,103
739,97,103
740,97,103
741,97,103
742,97,103
743,97,103
744,97,103
745,97,103
746,97,103
747,97,103
748,97,103
749,97,103
750,97,103
751,97,103
752,97,103
753,97,103
754,97,103
755,97,103
756,97,103
757,97,103
758,97,103
759,97,103
760,97,103
761,97,103
762,97,103
763,97,103
764,97,103
765,97,103
766,97,103
767,97,103
768,97,103
769,97,103
770,97,103
771,97,103
772,97,103
773,97,103
774,97,103
775,97,103
776,97,103
777,97,103
778,97,103
779,97,103
780,97,103
781,97,103
782,97,103
783,97,103
784,97,103
785,97,103
786,97,103
787,97,103
788,97,103
789,97,103
790,97,103
791,97,103
792,97,103
793,97,103
794,97,103
795,97,103
796,97,103
797,97,103
798,97,103
799,97,103
800,97,103
801,97,103
802,97,103
803,97,103
804,97,103
805,97,103
806,97,103
807,97,103
808,97,103
809,97,103
810,97,103
811,97,103
812,97,103
813,97,103
814,97,103
815,97,103
816,97,103
817,97,103
818,97,103
819,97,103
820,97,103
821,97,103
822,97,103
823,97,103
824,97,103
825,97,103
826,97,103
827,97,103
828,97,103
829,97,103
830,97,103
831,97,103
832,97,103
833,97,103
834,97,103
835,97,103
836,97,103
837,97,103
838,97,103
839,97,103
840,97,103
841,97,103
842,97,103
843,97,103
844,97,103
845,97,103
846,97,103
847,97,103
848,97,103
849,97,103
850,97,103
851,97,103
852,97,103
853,97,103
854,97,103
855,97,103
856,97,103
857,97,103
858,97,103
859,97,103
860,97,103
861,97,103
862,97,103
863,97,103
864,97,103
865,97,103
866,97,103
867,97,103
868,97,103
869,97,103
870,97,103
871,97,103
872,97,103
873,97,103
874,97,103
875,97,103
876,97,103
877,97,103
878,97,103
879,97,103
880,97,103
881,97,103
882,97,103
883,97,103
884,97,103
885,97,103
886,97,103
887,97,103
888,97,103
889,97,103
890,97,103
891,97,103
892,97,103
893,97,103
894,97,103
895,97,103
896,97,103
897,97,103
898,97,103
899,97,103
900,97,103
901,97,103
902,97,103
903,97,103
904,97,103
905,97,103
906,97,103
907,97,103
908,97,103
909,97,103
910,97,103
911,97,103
912,97,103
913,97,103
914,97,103
915,97,103
916,97,103
917,97,103
918,97,103
919,97,103
920,97,103
921,97,103
922,97,103
923,97,103
924,97,103
925,97,103
926,97,103
927,97,103
928,97,103
929,97,103
930,97,103
931,97,103
932,97,103
933,97,103
934,97,103
935,97,103
936,97,103
937,97,103
938,97,103
939,97,103
940,97,103
941,97,103
942,97,103
943,97,103
944,97,103
945,97,103
946,97,103
947,97,103
948,97,103
949,97,103
950,97,103
951,97,103
952,97,103
953,97,103
954,97,103
955,97,103
956,97,103
957,97,103
958,97,103
959,97,103
960,97,103
961,97,103
962,97,103
963,97,103
964,97,103
965,97,103
966,97,103
967,97,103
968,97,103
969,97,103
