ciclo,C,NC
1,103,97
2,103,97
3,103,97
4,103,97
5,103,97
6,103,97
7,103,97
8,103,97
9,103,97
10,103,97
11,103,97
12,103,97
13,103,97
14,103,97
15,103,97
16,103,97
17,103,97
18,103,97
19,103,97
20,103,97
21,103,97
22,103,97
23,103,97
24,103,97
25,103,97
26,103,97
27,103,97
28,103,97
29,103,97
30,103,97
31,103,97
32,103,97
33,103,97
34,103,97
35,103,97
36,103,97
37,103,97
38,103,97
39,103,97
40,103,97
41,103,97
42,103,97
43,103,97
44,103,97
45,103,97
46,103,97
47,103,97
48,103,97
49,103,97
50,103,97
51,103,97
52,103,97
53,103,97
54,103,97
55,103,97
56,103,97
57,103,97
58,103,97
59,103,97
60,103,97
61,103,97
62,103,97
63,103,97
64,103,97
65,103,97
66,103,97
67,103,97
68,103,97
69,103,97
70,103,97
71,103,97
72,103,97
73,103,97
74,103,97
75,103,97
76,103,97
77,103,97
78,103,97
79,103,97
80,103,97
81,103,97
82,103,97
83,103,97
84,103,97
85,103,97
86,103,97
87,103,97
88,103,97
89,103,97
90,103,97
91,103,97
92,103,97
93,103,97
94,103,97
95,103,97
96,103,97
97,103,97
98,103,97
99,103,97
100,105,95
101,105,95
102,105,95
103,105,95
104,105,95
105,105,95
106,105,95
107,105,95
108,105,95
109,105,95
110,105,95
111,105,95
112,105,95
113,105,95
114,105,95
115,105,95
116,105,95
117,105,95
118,105,95
119,105,95
120,105,95
121,105,95
122,105,95
123,105,95
124,105,95
125,105,95
126,105,95
127,105,95
128,105,95
129,105,95
130,105,95
131,105,95
132,105,95
133,105,95
134,105,95
135,105,95
136,105,95
137,105,95
138,105,95
139,105,95
140,105,95
141,105,95
142,105,95
143,105,95
144,105,95
145,105,95
146,105,95
147,105,95
148,105,95
149,105,95
150,105,95
151,105,95
152,105,95
153,105,95
154,105,95
155,105,95
156,105,95
157,105,95
158,105,95
159,105,95
160,105,95
161,105,95
162,105,95
163,105,95
164,105,95
165,105,95
166,105,95
167,105,95
168,105,95
169,105,95
170,105,95
171,105,95
172,105,95
173,105,95
174,105,95
175,105,95
176,105,95
177,105,95
178,105,95
179,105,95
180,105,95
181,105,95
182,105,95
183,105,95
184,105,95
185,105,95
186,105,95
187,105,95
188,105,95
189,105,95
190,105,95
191,105,95
192,105,95
193,105,95
194,105,95
195,105,95
196,105,95
197,105,95
198,105,95
199,105,95
200,106,94
201,106,94
202,106,94
203,106,94
204,106,94
205,106,94
206,106,94
207,106,94
208,106,94
209,106,94
210,106,94
211,106,94
212,106,94
213,106,94
214,106,94
215,106,94
216,106,94
217,106,94
218,106,94
219,106,94
220,106,94
221,106,94
222,106,94
223,106,94
224,106,94
225,106,94
226,106,94
227,106,94
228,106,94
229,106,94
230,106,94
231,106,94
232,106,94
233,106,94
234,106,94
235,106,94
236,106,94
237,106,94
238,106,94
239,106,94
240,106,94
241,106,94
242,106,94
243,106,94
244,106,94
245,106,94
246,106,94
247,106,94
248,106,94
249,106,94
250,106,94
251,106,94
252,106,94
253,106,94
254,106,94
255,106,94
256,106,94
257,106,94
258,106,94
259,106,94
260,106,94
261,106,94
262,106,94
263,106,94
264,106,94
265,106,94
266,106,94
267,106,94
268,106,94
269,106,94
270,106,94
271,106,94
272,106,94
273,106,94
274,106,94
275,106,94
276,106,94
277,106,94
278,106,94
279,106,94
280,106,94
281,106,94
282,106,94
283,106,94
284,106,94
285,106,94
286,106,94
287,106,94
288,106,94
289,106,94
290,106,94
291,106,94
292,106,94
293,106,94
294,106,94
295,106,94
296,106,94
297,106,94
298,106,94
299,106,94
300,107,93
301,107,93
302,107,93
303,107,93
304,107,93
305,107,93
306,107,93
307,107,93
308,107,93
309,107,93
310,107,93
311,107,93
312,107,93
313,107,93
314,107,93
315,107,93
316,107,93
317,107,93
318,107,93
319,107,93
320,107,93
321,107,93
322,107,93
323,107,93
324,107,93
325,107,93
326,107,93
327,107,93
328,107,93
329,107,93
330,107,93
331,107,93
332,107,93
333,107,93
334,107,93
335,107,93
336,107,93
337,107,93
338,107,93
339,107,93
340,107,93
341,107,93
342,107,93
343,107,93
344,107,93
345,107,93
346,107,93
347,107,93
348,107,93
349,107,93
350,107,93
351,107,93
352,107,93
353,107,93
354,107,93
355,107,93
356,107,93
357,107,93
358,107,93
359,107,93
360,107,93
361,107,93
362,107,93
363,107,93
364,107,93
365,107,93
366,107,93
367,107,93
368,107,93
369,107,93
370,107,93
371,107,93
372,107,93
373,107,93
374,107,93
375,107,93
376,107,93
377,107,93
378,107,93
379,107,93
380,107,93
381,107,93
382,107,93
383,107,93
384,107,93
385,107,93
386,107,93
387,107,93
388,107,93
389,107,93
390,107,93
391,107,93
392,107,93
393,107,93
394,107,93
395,107,93
396,107,93
397,107,93
398,107,93
399,107,93
400,107,93
401,107,93
402,107,93
403,107,93
404,107,93
405,107,93
406,107,93
407,107,93
408,107,93
409,107,93
410,107,93
411,107,93
412,107,93
413,107,93
414,107,93
415,107,93
416,107,93
417,107,93
418,107,93
419,107,93
420,107,93
421,107,93
422,107,93
423,107,93
424,107,93
425,107,93
426,107,93
427,107,93
428,107,93
429,107,93
430,107,93
431,107,93
432,107,93
433,107,93
434,107,93
435,107,93
436,107,93
437,107,93
438,107,93
439,107,93
440,107,93
441,107,93
442,107,93
443,107,93
444,107,93
445,107,93
446,107,93
447,107,93
448,107,93
449,107,93
450,107,93
451,107,93
452,107,93
453,107,93
454,107,93
455,107,93
456,107,93
457,107,93
458,107,93
459,107,93
460,107,93
461,107,93
462,107,93
463,107,93
464,107,93
465,107,93
466,107,93
467,107,93
468,107,93
469,107,93
470,107,93
471,107,93
472,107,93
473,107,93
474,107,93
475,107,93
476,107,93
477,107,93
478,107,93
479,107,93
480,107,93
481,107,93
482,107,93
483,107,93
484,107,93
485,107,93
486,107,93
487,107,93
488,107,93
489,107,93
490,107,93
491,107,93
492,107,93
493,107,93
494,107,93
495,107,93
496,107,93
497,107,93
498,107,93
499,107,93
500,103,97
501,103,97
502,103,97
503,103,97
504,103,97
505,103,97
506,103,97
507,103,97
508,103,97
509,103,97
510,103,97
511,103,97
512,103,97
513,103,97
514,103,97
515,103,97
516,103,97
517,103,97
518,103,97
519,103,97
520,103,97
521,103,97
522,103,97
523,103,97
524,103,97
525,103,97
526,103,97
527,103,97
528,103,97
529,103,97
530,103,97
531,103,97
532,103,97
533,103,97
534,103,97
535,103,97
536,103,97
537,103,97
538,103,97
539,103,97
540,103,97
541,103,97
542,103,97
543,103,97
544,103,97
545,103,97
546,103,97
547,103,97
548,103,97
549,103,97
550,103,97
551,103,97
552,103,97
553,103,97
554,103,97
555,103,97
556,103,97
557,103,97
558,103,97
559,103,97
560,103,97
561,103,97
562,103,97
563,103,97
564,103,97
565,103,97
566,103,97
567,103,97
568,103,97
569,103,97
570,103,97
571,103,97
572,103,97
573,103,97
574,103,97
575,103,97
576,103,97
577,103,97
578,103,97
579,103,97
580,103,97
581,103,97
582,103,97
583,103,97
584,103,97
585,103,97
586,103,97
587,103,97
588,103,97
589,103,97
590,103,97
591,103,97
592,103,97
593,103,97
594,103,97
595,103,97
596,103,97
597,103,97
598,103,97
599,103,97
600,104,96
601,104,96
602,104,96
603,104,96
604,104,96
605,104,96
606,104,96
607,104,96
608,104,96
609,104,96
610,104,96
611,104,96
612,104,96
613,104,96
614,104,96
615,104,96
616,104,96
617,104,96
618,104,96
619,104,96
620,104,96
621,104,96
622,104,96
623,104,96
624,104,96
625,104,96
626,104,96
627,104,96
628,104,96
629,104,96
630,104,96
631,104,96
632,104,96
633,104,96
634,104,96
635,104,96
636,104,96
637,104,96
638,104,96
639,104,96
640,104,96
641,104,96
642,104,96
643,104,96
644,104,96
645,104,96
646,104,96
647,104,96
648,104,96
649,104,96
650,104,96
651,104,96
652,104,96
653,104,96
654,104,96
655,104,96
656,104,96
657,104,96
658,104,96
659,104,96
660,104,96
661,104,96
662,104,96
663,104,96
664,104,96
665,104,96
666,104,96
667,104,96
668,104,96
669,104,96
670,104,96
671,104,96
672,104,96
673,104,96
674,104,96
675,104,96
676,104,96
677,104,96
678,104,96
679,104,96
680,104,96
681,104,96
682,104,96
683,104,96
684,104,96
685,104,96
686,104,96
687,104,96
688,104,96
689,104,96
690,104,96
691,104,96
692,104,96
693,104,96
694,104,96
695,104,96
696,104,96
697,104,96
698,104,96
699,104,96
700,101,99
701,101,99
702,101,99
703,101,99
704,101,99
705,101,99
706,101,99
707,101,99
708,101,99
709,101,99
710,101,99
711,101,99
712,101,99
713,101,99
714,101,99
715,101,99
716,101,99
717,101,99
718,101,99
719,101,99
720,101,99
721,101,99
722,101,99
723,101,99
724,101,99
725,101,99
726,101,99
727,101,99
728,101,99
729,101,99
730,101,99
731,101,99
732,101,99
733,101,99
734,101,99
735,101,99
736,101,99
737,101,99
738,101,99
739,101,99
740,101,99
741,101,99
742,101,99
743,101,99
744,101,99
745,101,99
746,101,99
747,101,99
748,101,99
749,101,99
750,101,99
751,101,99
752,101,99
753,101,99
754,101,99
755,101,99
756,101,99
757,101,99
758,101,99
759,101,99
760,101,99
761,101,99
762,101,99
763,101,99
764,101,99
765,101,99
766,101,99
767,101,99
768,101,99
769,101,99
770,101,99
771,101,99
772,101,99
773,101,99
774,101,99
775,101,99
776,101,99
777,101,99
778,101,99
779,101,99
780,101,99
781,101,99
782,101,99
783,101,99
784,101,99
785,101,99
786,101,99
787,101,99
788,101,99
789,101,99
790,101,99
791,101,99
792,101,99
793,101,99
794,101,99
795,101,99
796,101,99
797,101,99
798,101,99
799,101,99
800,102,98
801,102,98
802,102,98
803,102,98
804,102,98
805,102,98
806,102,98
807,102,98
808,102,98
809,102,98
810,102,98
811,102,98
812,102,98
813,102,98
814,102,98
815,102,98
816,102,98
817,102,98
818,102,98
819,102,98
820,102,98
821,102,98
822,102,98
823,102,98
824,102,98
825,102,98
826,102,98
827,102,98
828,102,98
829,102,98
830,102,98
831,102,98
832,102,98
833,102,98
834,102,98
835,102,98
836,102,98
837,102,98
838,102,98
839,102,98
840,102,98
841,102,98
842,102,98
843,102,98
844,102,98
845,102,98
846,102,98
847,102,98
848,102,98
849,102,98
850,102,98
851,102,98
852,102,98
853,102,98
854,102,98
855,102,98
856,102,98
857,102,98
858,102,98
859,102,98
860,102,98
861,102,98
862,102,98
863,102,98
864,102,98
865,102,98
866,102,98
867,102,98
868,102,98
869,102,98
870,102,98
871,102,98
872,102,98
873,102,98
874,102,98
875,102,98
876,102,98
877,102,98
878,102,98
879,102,98
880,102,98
881,102,98
882,102,98
883,102,98
884,102,98
885,102,98
886,102,98
887,102,98
888,102,98
889,102,98
890,102,98
891,102,98
892,102,98
893,102,98
894,102,98
895,102,98
896,102,98
897,102,98
898,102,98
899,102,98
900,102,98
901,102,98
902,102,98
903,102,98
904,102,98
905,102,98
906,102,98
907,102,98
908,102,98
909,102,98
910,102,98
911,102,98
912,102,98
913,102,98
914,102,98
915,102,98
916,102,98
917,102,98
918,102,98
919,102,98
920,102,98
921,102,98
922,102,98
923,102,98
924,102,98
925,102,98
